,L,nh,x->y,y->x
0,1,2,-2.5460145473480225,-2.5455946922302246
1,1,4,-2.648630142211914,-2.65336012840271
2,1,5,-2.7787387371063232,-2.806243658065796
3,1,8,-2.9774999618530273,-3.028566837310791
4,1,10,-2.937026262283325,-3.015146255493164
5,2,2,-2.594388008117676,-2.6306416988372803
6,2,4,-2.5951247215270996,-2.57692551612854
7,2,5,-2.7466931343078613,-2.78131103515625
8,2,8,-2.787062168121338,-2.8135969638824463
9,2,10,-3.3593862056732178,-3.4413232803344727
10,3,2,-2.5718839168548584,-2.590268135070801
11,3,4,-2.6334383487701416,-2.650604009628296
12,3,5,-2.903233766555786,-2.985013246536255
13,3,8,-2.9070510864257812,-2.9361050128936768
14,3,10,-3.0500240325927734,-3.1166629791259766
