,L,nh,x->y,y->x
0,1,2,-3.72385835647583,-3.7044153213500977
1,1,4,-2.870069980621338,-3.141465425491333
2,1,5,-3.760488748550415,-3.8933582305908203
3,1,8,-3.6000490188598633,-4.439548492431641
4,1,10,-4.10699987411499,-4.411892890930176
5,2,2,-3.4361913204193115,-3.802199125289917
6,2,4,-3.077754259109497,-3.5402865409851074
7,2,5,-3.6019370555877686,-4.066671848297119
8,2,8,-3.7302494049072266,-4.941175937652588
9,2,10,-4.698817253112793,-5.473843574523926
10,3,2,-2.909961700439453,-3.76029109954834
11,3,4,-3.593635320663452,-3.4645602703094482
12,3,5,-4.045995712280273,-4.871894359588623
13,3,8,-4.243495941162109,-5.159019470214844
14,3,10,-4.78709602355957,-5.665119171142578
