,L,nh,x->y,y->x
0,1,2,-2.40552020072937,-2.463003635406494
1,1,4,-3.8557095527648926,-3.682469606399536
2,1,5,-3.499082088470459,-3.6602566242218018
3,1,8,-3.974501132965088,-4.137741565704346
4,1,10,-2.8343310356140137,-3.2424190044403076
5,2,2,-3.4690563678741455,-3.4002084732055664
6,2,4,-4.164206504821777,-3.8799831867218018
7,2,5,-3.4842653274536133,-3.705883741378784
8,2,8,-4.2370195388793945,-4.565194606781006
9,2,10,-3.9385952949523926,-4.2767133712768555
10,3,2,-3.6827237606048584,-3.4050204753875732
11,3,4,-3.6129159927368164,-3.5773942470550537
12,3,5,-3.782240867614746,-4.171873569488525
13,3,8,-4.150135040283203,-4.6237945556640625
14,3,10,-4.2114667892456055,-4.504237651824951
