,L,nh,x->y,y->x
0,1,2,-2.8811604976654053,-2.9292736053466797
1,1,4,-3.017254114151001,-2.9130859375
2,1,5,-3.1224563121795654,-3.2014729976654053
3,1,8,-3.3575186729431152,-3.339623212814331
4,1,10,-3.2525081634521484,-3.3931262493133545
5,2,2,-3.0365631580352783,-2.975740909576416
6,2,4,-2.9196736812591553,-2.909545421600342
7,2,5,-3.136876344680786,-3.185218095779419
8,2,8,-3.2155838012695312,-3.183866500854492
9,2,10,-3.913771867752075,-3.958928108215332
10,3,2,-2.9632973670959473,-2.892301559448242
11,3,4,-2.8881208896636963,-2.8793728351593018
12,3,5,-3.4314732551574707,-3.4560506343841553
13,3,8,-3.4635250568389893,-3.4910566806793213
14,3,10,-3.774915933609009,-3.8363993167877197
