,L,nh,x->y,y->x
0,1,2,-2.300642490386963,-2.404240846633911
1,1,4,-2.3180248737335205,-2.3975234031677246
2,1,5,-2.4487273693084717,-2.4189648628234863
3,1,8,-2.274688959121704,-2.3865044116973877
4,1,10,-2.268419027328491,-2.391195297241211
5,2,2,-2.2862133979797363,-2.398141860961914
6,2,4,-2.2529525756835938,-2.3843531608581543
7,2,5,-2.297755718231201,-2.3912339210510254
8,2,8,-2.259592056274414,-2.3806376457214355
9,2,10,-2.2310633659362793,-2.379103660583496
10,3,2,-2.2822086811065674,-2.3938021659851074
11,3,4,-2.263930082321167,-2.380861520767212
12,3,5,-2.2568557262420654,-2.375743865966797
13,3,8,-2.255371570587158,-2.381596803665161
14,3,10,-2.2281501293182373,-2.378695249557495
