,L,nh,x->y,y->x
0,1,2,-2.8713223934173584,-2.979388475418091
1,1,4,-2.861680507659912,-2.9480295181274414
2,1,5,-2.895885944366455,-2.9125478267669678
3,1,8,-2.8598451614379883,-2.925682544708252
4,1,10,-2.852128267288208,-2.8923957347869873
5,2,2,-2.880434513092041,-2.9761605262756348
6,2,4,-2.8500943183898926,-2.8881170749664307
7,2,5,-2.8268003463745117,-2.882110834121704
8,2,8,-2.814013957977295,-2.875023365020752
9,2,10,-2.810917377471924,-2.8491270542144775
10,3,2,-2.8761396408081055,-2.8880679607391357
11,3,4,-2.8537437915802,-2.8928515911102295
12,3,5,-2.821476459503174,-2.9033095836639404
13,3,8,-2.8090689182281494,-2.8714306354522705
14,3,10,-2.804605722427368,-2.857471227645874
