,L,nh,x->y,y->x
0,1,2,-1.853495717048645,-1.8534923791885376
1,1,4,-1.7920790910720825,-1.802677035331726
2,1,5,-2.07352614402771,-2.054729461669922
3,1,8,-2.157459259033203,-2.1639952659606934
4,1,10,-2.288379669189453,-2.2930808067321777
5,2,2,-1.7592488527297974,-1.7618950605392456
6,2,4,-1.654561161994934,-1.6756067276000977
7,2,5,-1.8669240474700928,-1.8794869184494019
8,2,8,-1.8457422256469727,-1.8653793334960938
9,2,10,-2.551571846008301,-2.5438919067382812
10,3,2,-1.7172406911849976,-1.725651741027832
11,3,4,-1.7068175077438354,-1.7250207662582397
12,3,5,-1.9665619134902954,-1.9781686067581177
13,3,8,-1.8585160970687866,-1.8684372901916504
14,3,10,-2.0059549808502197,-1.9958258867263794
