,L,nh,x->y,y->x
0,1,2,-2.2791600227355957,-2.286994695663452
1,1,4,-2.1250874996185303,-2.261345624923706
2,1,5,-2.0379035472869873,-2.263207197189331
3,1,8,-2.1223864555358887,-2.2625672817230225
4,1,10,-1.9609659910202026,-2.270040512084961
5,2,2,-1.7849092483520508,-2.265592336654663
6,2,4,-1.8157633543014526,-2.255119562149048
7,2,5,-1.665461540222168,-2.250415086746216
8,2,8,-1.6543716192245483,-2.249420404434204
9,2,10,-1.6344325542449951,-2.255661725997925
10,3,2,-1.651909589767456,-2.2719359397888184
11,3,4,-1.6036903858184814,-2.2493855953216553
12,3,5,-1.6035521030426025,-2.2482199668884277
13,3,8,-1.6797621250152588,-2.2453837394714355
14,3,10,-1.6997430324554443,-2.2488527297973633
