,L,nh,x->y,y->x
0,1,2,-1.874343991279602,-1.8787895441055298
1,1,4,-1.7695603370666504,-1.7898162603378296
2,1,5,-2.0373942852020264,-2.079287052154541
3,1,8,-2.071821451187134,-2.1176652908325195
4,1,10,-2.2089874744415283,-2.2481369972229004
5,2,2,-1.7194669246673584,-1.7557896375656128
6,2,4,-1.6161960363388062,-1.6308252811431885
7,2,5,-1.7962415218353271,-1.8418560028076172
8,2,8,-1.7942001819610596,-1.8108689785003662
9,2,10,-2.431765556335449,-2.4868357181549072
10,3,2,-1.659042477607727,-1.6877381801605225
11,3,4,-1.6810696125030518,-1.6836024522781372
12,3,5,-1.9054745435714722,-1.9259705543518066
13,3,8,-1.8033188581466675,-1.8159304857254028
14,3,10,-1.9338703155517578,-1.9520528316497803
