,L,nh,x->y,y->x
0,1,2,-2.2656781673431396,-2.292670965194702
1,1,4,-4.593796253204346,-4.5673418045043945
2,1,5,-3.9959802627563477,-4.063589572906494
3,1,8,-4.496697425842285,-4.539303779602051
4,1,10,-2.8679075241088867,-2.8101999759674072
5,2,2,-3.6984169483184814,-3.6760382652282715
6,2,4,-5.470300197601318,-5.303927898406982
7,2,5,-3.9255287647247314,-3.8057398796081543
8,2,8,-4.738038063049316,-4.836407661437988
9,2,10,-3.835265874862671,-3.678257703781128
10,3,2,-4.081894874572754,-3.918407440185547
11,3,4,-4.910062789916992,-4.862996578216553
12,3,5,-4.610555171966553,-4.588640213012695
13,3,8,-4.458673000335693,-4.681600570678711
14,3,10,-4.2637176513671875,-4.061436653137207
