,L,nh,x->y,y->x
0,1,2,-2.6915688514709473,-2.8238258361816406
1,1,4,-2.61283802986145,-2.6070339679718018
2,1,5,-2.6337969303131104,-2.6928648948669434
3,1,8,-2.6205215454101562,-2.658811092376709
4,1,10,-2.594778537750244,-2.660069465637207
5,2,2,-2.6664583683013916,-2.759019136428833
6,2,4,-2.6214358806610107,-2.621863842010498
7,2,5,-2.620741605758667,-2.8619236946105957
8,2,8,-2.651332139968872,-2.8219728469848633
9,2,10,-2.6176700592041016,-2.7043235301971436
10,3,2,-2.6542677879333496,-2.676771402359009
11,3,4,-2.6189146041870117,-2.676420211791992
12,3,5,-2.6394171714782715,-2.9191126823425293
13,3,8,-2.6369576454162598,-2.7916977405548096
14,3,10,-2.624201774597168,-2.7572617530822754
