,L,nh,x->y,y->x
0,1,2,-3.2884950637817383,-3.5839476585388184
1,1,4,-3.3859500885009766,-2.8280491828918457
2,1,5,-3.2816808223724365,-3.1817548274993896
3,1,8,-4.222830295562744,-2.8449580669403076
4,1,10,-3.770287275314331,-4.041920185089111
5,2,2,-4.1217875480651855,-3.402021646499634
6,2,4,-3.4484403133392334,-2.798511028289795
7,2,5,-3.816659688949585,-2.8166258335113525
8,2,8,-4.557470321655273,-2.5687220096588135
9,2,10,-4.833898544311523,-3.86883807182312
10,3,2,-4.451018333435059,-2.867323637008667
11,3,4,-3.1518492698669434,-3.3029282093048096
12,3,5,-4.509091854095459,-3.1187994480133057
13,3,8,-4.560507297515869,-3.1046206951141357
14,3,10,-5.087228298187256,-3.6247551441192627
