,L,nh,x->y,y->x
0,1,2,-3.257251024246216,-3.183704376220703
1,1,4,-3.254915952682495,-3.276522159576416
2,1,5,-3.4517133235931396,-3.528104543685913
3,1,8,-3.6516435146331787,-3.8387625217437744
4,1,10,-3.6341278553009033,-3.768030881881714
5,2,2,-3.530688762664795,-3.486950635910034
6,2,4,-3.3162262439727783,-3.279852867126465
7,2,5,-3.4610323905944824,-3.5740466117858887
8,2,8,-3.6994543075561523,-3.992255687713623
9,2,10,-4.377501964569092,-4.476829528808594
10,3,2,-3.396900177001953,-3.430938720703125
11,3,4,-3.131286382675171,-3.1336476802825928
12,3,5,-4.019534587860107,-4.108181953430176
13,3,8,-3.9239132404327393,-4.114324569702148
14,3,10,-4.513374328613281,-4.6272807121276855
