,L,nh,x->y,y->x
0,1,2,-4.5010986328125,-4.365137100219727
1,1,4,-3.404928207397461,-3.660737991333008
2,1,5,-4.448553085327148,-4.38694429397583
3,1,8,-4.3494720458984375,-4.94486665725708
4,1,10,-4.964605808258057,-4.717732906341553
5,2,2,-3.879199981689453,-4.360253810882568
6,2,4,-4.1119794845581055,-4.430723667144775
7,2,5,-4.252435207366943,-5.003774642944336
8,2,8,-5.12559175491333,-6.142553329467773
9,2,10,-5.4342122077941895,-5.830074787139893
10,3,2,-2.9768378734588623,-4.348331928253174
11,3,4,-4.765575885772705,-4.241142749786377
12,3,5,-4.942314147949219,-5.493014812469482
13,3,8,-5.703410625457764,-6.728450298309326
14,3,10,-5.683479309082031,-6.1325201988220215
