,L,nh,x->y,y->x
0,1,2,-3.1165218353271484,-3.1257877349853516
1,1,4,-3.0221517086029053,-3.050537109375
2,1,5,-3.453496217727661,-3.488903284072876
3,1,8,-3.7821834087371826,-3.7784717082977295
4,1,10,-3.6515345573425293,-3.602306365966797
5,2,2,-3.4163174629211426,-3.5012505054473877
6,2,4,-3.041685104370117,-3.051673412322998
7,2,5,-3.460508346557617,-3.5513808727264404
8,2,8,-3.963425636291504,-4.059207916259766
9,2,10,-4.420197486877441,-4.406911849975586
10,3,2,-3.171689748764038,-3.3281404972076416
11,3,4,-2.9972612857818604,-3.4287102222442627
12,3,5,-4.018086910247803,-4.562692642211914
13,3,8,-4.146108627319336,-4.085646629333496
14,3,10,-4.580519676208496,-4.58494234085083
