,L,nh,x->y,y->x
0,1,2,-3.1297590732574463,-3.042529582977295
1,1,4,-2.9620087146759033,-3.06180477142334
2,1,5,-3.35707426071167,-3.4398012161254883
3,1,8,-3.8290412425994873,-4.106642246246338
4,1,10,-3.7690351009368896,-3.863978147506714
5,2,2,-3.6790947914123535,-3.8187761306762695
6,2,4,-3.145447015762329,-3.245363235473633
7,2,5,-3.3988006114959717,-3.7295446395874023
8,2,8,-4.078052043914795,-4.398260593414307
9,2,10,-4.403157711029053,-4.614913463592529
10,3,2,-3.3315072059631348,-3.7311835289001465
11,3,4,-3.2117865085601807,-3.213069438934326
12,3,5,-4.033420085906982,-4.339598655700684
13,3,8,-3.874997854232788,-4.197759628295898
14,3,10,-4.692007541656494,-4.917857646942139
