,L,nh,x->y,y->x
0,1,2,-2.7042922973632812,-2.71510648727417
1,1,4,-2.802885055541992,-2.774991035461426
2,1,5,-3.0353434085845947,-3.0938029289245605
3,1,8,-3.0144283771514893,-3.233661413192749
4,1,10,-3.0540733337402344,-3.12964129447937
5,2,2,-2.8145041465759277,-2.797140598297119
6,2,4,-2.6546528339385986,-2.550600051879883
7,2,5,-2.920511245727539,-3.0536630153656006
8,2,8,-2.8770713806152344,-2.9930760860443115
9,2,10,-3.5992822647094727,-3.739863157272339
10,3,2,-2.610077381134033,-2.602546215057373
11,3,4,-2.5769522190093994,-2.5257813930511475
12,3,5,-3.084782123565674,-3.252835273742676
13,3,8,-3.167022705078125,-3.292393445968628
14,3,10,-3.515462875366211,-3.667357921600342
