,L,nh,x->y,y->x
0,1,2,-2.7280564308166504,-2.858814001083374
1,1,4,-3.3496618270874023,-3.208104372024536
2,1,5,-3.592735767364502,-3.685204029083252
3,1,8,-4.108284950256348,-3.951131582260132
4,1,10,-3.4993412494659424,-3.154047727584839
5,2,2,-3.655669689178467,-3.380758762359619
6,2,4,-3.396085739135742,-3.417670726776123
7,2,5,-3.654566526412964,-3.5105676651000977
8,2,8,-4.435282230377197,-4.054323196411133
9,2,10,-4.316723346710205,-3.645905017852783
10,3,2,-3.551987409591675,-3.07588791847229
11,3,4,-3.294861316680908,-3.260610818862915
12,3,5,-4.226489067077637,-3.9257640838623047
13,3,8,-4.367071151733398,-4.021793365478516
14,3,10,-4.625432014465332,-3.880584716796875
