,L,nh,x->y,y->x
0,1,2,-3.229787826538086,-3.1589760780334473
1,1,4,-3.0577869415283203,-3.260277032852173
2,1,5,-3.818511962890625,-3.6178417205810547
3,1,8,-4.122291088104248,-3.9824421405792236
4,1,10,-3.763092517852783,-3.4807958602905273
5,2,2,-3.514275550842285,-3.6446919441223145
6,2,4,-3.1610941886901855,-3.5389647483825684
7,2,5,-3.7678239345550537,-3.8413615226745605
8,2,8,-4.536066055297852,-4.37416410446167
9,2,10,-4.60435676574707,-4.343355178833008
10,3,2,-3.1644511222839355,-3.5077288150787354
11,3,4,-3.247441530227661,-3.457519054412842
12,3,5,-4.388775825500488,-4.296135425567627
13,3,8,-4.511118412017822,-4.248719215393066
14,3,10,-4.886806964874268,-4.658563137054443
