,L,nh,x->y,y->x
0,1,2,-3.364891767501831,-3.7617745399475098
1,1,4,-3.196267604827881,-3.258805751800537
2,1,5,-3.215097427368164,-3.2456753253936768
3,1,8,-3.1926662921905518,-3.3279855251312256
4,1,10,-3.1916353702545166,-3.26680588722229
5,2,2,-3.2187042236328125,-3.309394598007202
6,2,4,-3.218993663787842,-3.234623908996582
7,2,5,-3.165424346923828,-3.2270278930664062
8,2,8,-3.2300803661346436,-3.2173948287963867
9,2,10,-3.1765270233154297,-3.2231955528259277
10,3,2,-3.260648488998413,-3.2456138134002686
11,3,4,-3.2026360034942627,-3.231783628463745
12,3,5,-3.1620476245880127,-3.207913875579834
13,3,8,-3.2256438732147217,-3.221848726272583
14,3,10,-3.1595194339752197,-3.2222650051116943
