,L,nh,x->y,y->x
0,1,2,-2.51532244682312,-2.857726812362671
1,1,4,-3.164856433868408,-2.786243200302124
2,1,5,-3.0128936767578125,-3.125131845474243
3,1,8,-3.8267011642456055,-3.309290647506714
4,1,10,-3.093177318572998,-3.5214109420776367
5,2,2,-3.5164177417755127,-3.137707233428955
6,2,4,-2.9000892639160156,-2.564304828643799
7,2,5,-3.212552309036255,-2.9125289916992188
8,2,8,-3.9587669372558594,-3.2970669269561768
9,2,10,-4.018683910369873,-3.963451862335205
10,3,2,-3.58154559135437,-2.6927359104156494
11,3,4,-2.709381103515625,-2.788224697113037
12,3,5,-3.7376620769500732,-3.423203945159912
13,3,8,-3.8580195903778076,-3.5563571453094482
14,3,10,-4.2116827964782715,-4.0004143714904785
