,L,nh,x->y,y->x
0,1,2,-3.2844531536102295,-3.579216718673706
1,1,4,-3.3263885974884033,-2.7929651737213135
2,1,5,-3.316157102584839,-3.197371482849121
3,1,8,-4.246224880218506,-2.809007406234741
4,1,10,-3.774564027786255,-3.8815486431121826
5,2,2,-4.077096462249756,-3.419266700744629
6,2,4,-3.2050294876098633,-2.799121618270874
7,2,5,-3.7418100833892822,-2.8700637817382812
8,2,8,-4.539891242980957,-2.573359251022339
9,2,10,-4.814431190490723,-3.8174188137054443
10,3,2,-4.382076740264893,-2.892090082168579
11,3,4,-2.9465835094451904,-3.24143648147583
12,3,5,-4.359017372131348,-3.1514217853546143
13,3,8,-4.476866722106934,-3.125225782394409
14,3,10,-5.008362293243408,-3.66245436668396
