,L,nh,x->y,y->x
0,1,2,-3.4721548557281494,-3.347478151321411
1,1,4,-2.6779913902282715,-3.058211088180542
2,1,5,-3.9301209449768066,-3.8190133571624756
3,1,8,-4.1257219314575195,-4.163691997528076
4,1,10,-4.190086364746094,-4.077877998352051
5,2,2,-3.6651861667633057,-3.9862096309661865
6,2,4,-2.641923427581787,-3.5707831382751465
7,2,5,-3.9896888732910156,-4.289940357208252
8,2,8,-4.720571041107178,-4.693757057189941
9,2,10,-4.907658576965332,-4.909151554107666
10,3,2,-3.221238851547241,-3.9141809940338135
11,3,4,-3.7261838912963867,-3.92972731590271
12,3,5,-4.722323894500732,-4.816460132598877
13,3,8,-4.8395586013793945,-4.707831859588623
14,3,10,-5.232110977172852,-5.281531810760498
