,L,nh,x->y,y->x
0,1,2,-2.2581305503845215,-2.153689384460449
1,1,4,-4.4349589347839355,-4.554529190063477
2,1,5,-4.029031276702881,-3.942713737487793
3,1,8,-4.628728866577148,-4.327661037445068
4,1,10,-3.1690926551818848,-2.635101318359375
5,2,2,-3.692086935043335,-3.6259119510650635
6,2,4,-4.991000652313232,-5.441089153289795
7,2,5,-3.7694294452667236,-3.84981369972229
8,2,8,-4.944064140319824,-4.437502861022949
9,2,10,-4.2407755851745605,-3.468501091003418
10,3,2,-3.829197645187378,-3.9979677200317383
11,3,4,-4.576676845550537,-4.891287326812744
12,3,5,-4.601325035095215,-4.487668037414551
13,3,8,-4.787051677703857,-3.9780325889587402
14,3,10,-4.674280166625977,-3.841200351715088
