,L,nh,x->y,y->x
0,1,2,-3.89357328414917,-3.8303263187408447
1,1,4,-3.0326921939849854,-3.558661937713623
2,1,5,-3.877277374267578,-3.924149751663208
3,1,8,-3.822404384613037,-4.693665504455566
4,1,10,-4.222231388092041,-4.215295314788818
5,2,2,-3.4892897605895996,-3.9026153087615967
6,2,4,-3.2401437759399414,-4.013831615447998
7,2,5,-3.7921955585479736,-4.2621169090271
8,2,8,-3.9261553287506104,-5.0204668045043945
9,2,10,-4.768099784851074,-5.3692851066589355
10,3,2,-3.0262155532836914,-4.03325891494751
11,3,4,-3.6967384815216064,-3.649648427963257
12,3,5,-4.261030673980713,-4.918747425079346
13,3,8,-4.42750358581543,-5.208340644836426
14,3,10,-4.858863353729248,-5.576257705688477
