,L,nh,x->y,y->x
0,1,2,-2.328045129776001,-2.587571620941162
1,1,4,-2.1078474521636963,-2.5761702060699463
2,1,5,-2.14371657371521,-2.5862317085266113
3,1,8,-2.0848190784454346,-2.5902905464172363
4,1,10,-2.0209689140319824,-2.6174566745758057
5,2,2,-2.087742328643799,-2.584291458129883
6,2,4,-1.9869511127471924,-2.571729898452759
7,2,5,-1.8409068584442139,-2.580643892288208
8,2,8,-1.7787219285964966,-2.5761547088623047
9,2,10,-1.7979166507720947,-2.579468011856079
10,3,2,-2.082167863845825,-2.5795247554779053
11,3,4,-1.8933814764022827,-2.574925184249878
12,3,5,-1.7583178281784058,-2.578763008117676
13,3,8,-1.8636445999145508,-2.5759332180023193
14,3,10,-1.781262755393982,-2.574916362762451
