,L,nh,x->y,y->x
0,1,2,-2.2318882942199707,-2.306238889694214
1,1,4,-2.249849796295166,-2.311286687850952
2,1,5,-2.362403154373169,-2.3641185760498047
3,1,8,-2.2286341190338135,-2.324437141418457
4,1,10,-2.2232182025909424,-2.3069605827331543
5,2,2,-2.234348773956299,-2.314314603805542
6,2,4,-2.2053253650665283,-2.3046157360076904
7,2,5,-2.2394988536834717,-2.316467523574829
8,2,8,-2.2160375118255615,-2.311270236968994
9,2,10,-2.1905040740966797,-2.3060364723205566
10,3,2,-2.2338902950286865,-2.3138816356658936
11,3,4,-2.210465431213379,-2.308039426803589
12,3,5,-2.2026143074035645,-2.3153507709503174
13,3,8,-2.2165420055389404,-2.305720090866089
14,3,10,-2.1829869747161865,-2.303724527359009
