,L,nh,x->y,y->x
0,1,2,-1.4362342357635498,-1.6935783624649048
1,1,4,-2.1168904304504395,-1.8539927005767822
2,1,5,-2.2838876247406006,-2.000131607055664
3,1,8,-2.665867567062378,-2.151001453399658
4,1,10,-2.638715982437134,-2.1757490634918213
5,2,2,-1.8811256885528564,-1.8993909358978271
6,2,4,-1.4262410402297974,-1.5130102634429932
7,2,5,-2.1812613010406494,-1.8843024969100952
8,2,8,-2.1216471195220947,-1.982154130935669
9,2,10,-3.1857388019561768,-2.59014630317688
10,3,2,-1.4565032720565796,-1.52716863155365
11,3,4,-1.397908091545105,-1.6760108470916748
12,3,5,-2.3893868923187256,-2.129770517349243
13,3,8,-2.369476318359375,-2.0397603511810303
14,3,10,-2.6792314052581787,-2.305849552154541
