,L,nh,x->y,y->x
0,1,2,-3.191877603530884,-3.1222410202026367
1,1,4,-3.0473735332489014,-3.2639729976654053
2,1,5,-3.7996301651000977,-3.6223456859588623
3,1,8,-4.129672050476074,-3.9766876697540283
4,1,10,-3.7856969833374023,-3.4939446449279785
5,2,2,-3.51767635345459,-3.630800247192383
6,2,4,-3.177888870239258,-3.5652575492858887
7,2,5,-3.757819652557373,-3.788743734359741
8,2,8,-4.540044784545898,-4.3622212409973145
9,2,10,-4.64004373550415,-4.360097408294678
10,3,2,-3.1911702156066895,-3.4809179306030273
11,3,4,-3.258039712905884,-3.461357593536377
12,3,5,-4.389509677886963,-4.275538444519043
13,3,8,-4.529038429260254,-4.23401403427124
14,3,10,-4.925558090209961,-4.672069549560547
