,L,nh,x->y,y->x
0,1,2,-3.090914487838745,-3.0795135498046875
1,1,4,-3.106437921524048,-3.155571222305298
2,1,5,-3.447819232940674,-3.4380786418914795
3,1,8,-3.872194766998291,-3.8143093585968018
4,1,10,-3.710658550262451,-3.7496957778930664
5,2,2,-3.653826951980591,-3.692246437072754
6,2,4,-3.1068997383117676,-3.211489200592041
7,2,5,-3.525728940963745,-3.533332586288452
8,2,8,-4.213103294372559,-4.100672721862793
9,2,10,-4.502786159515381,-4.469789505004883
10,3,2,-3.4847476482391357,-3.5420734882354736
11,3,4,-3.1848819255828857,-3.2228612899780273
12,3,5,-4.1665849685668945,-4.119507312774658
13,3,8,-4.188459396362305,-4.093195915222168
14,3,10,-4.771162509918213,-4.70409631729126
