,L,nh,x->y,y->x
0,1,2,-2.228999137878418,-2.4137141704559326
1,1,4,-3.5927014350891113,-3.4937973022460938
2,1,5,-3.3394882678985596,-3.5016062259674072
3,1,8,-3.75766658782959,-3.9908673763275146
4,1,10,-2.7282657623291016,-3.1931169033050537
5,2,2,-3.303374767303467,-3.2819771766662598
6,2,4,-3.595055103302002,-3.5629820823669434
7,2,5,-3.3308911323547363,-3.489830732345581
8,2,8,-3.922240734100342,-4.31679630279541
9,2,10,-3.6852095127105713,-4.162407875061035
10,3,2,-3.3693959712982178,-3.1904044151306152
11,3,4,-3.1634037494659424,-3.406332015991211
12,3,5,-3.6563243865966797,-3.976710081100464
13,3,8,-3.82334303855896,-4.375102996826172
14,3,10,-3.9214844703674316,-4.393397331237793
