,L,nh,x->y,y->x
0,1,2,-2.1862378120422363,-2.2678909301757812
1,1,4,-3.0227506160736084,-2.99027156829834
2,1,5,-3.1084070205688477,-3.282733917236328
3,1,8,-3.481228828430176,-3.667287826538086
4,1,10,-2.7620787620544434,-3.006013870239258
5,2,2,-3.083583116531372,-3.111013650894165
6,2,4,-2.8447256088256836,-2.6442530155181885
7,2,5,-3.0639944076538086,-3.1523828506469727
8,2,8,-3.5875110626220703,-3.8125534057617188
9,2,10,-3.588793992996216,-3.853921890258789
10,3,2,-2.8449714183807373,-2.8575973510742188
11,3,4,-2.763012409210205,-2.6605007648468018
12,3,5,-3.387638807296753,-3.6254212856292725
13,3,8,-3.569591760635376,-3.809882640838623
14,3,10,-3.796954393386841,-4.044715881347656
