,L,nh,x->y,y->x
0,1,2,-3.121070384979248,-3.1548304557800293
1,1,4,-2.9251649379730225,-3.110450267791748
2,1,5,-3.4000189304351807,-3.361470937728882
3,1,8,-3.981252670288086,-3.7147183418273926
4,1,10,-3.7773916721343994,-3.7517576217651367
5,2,2,-3.7361907958984375,-3.705284833908081
6,2,4,-2.9182517528533936,-3.2677161693573
7,2,5,-3.562979221343994,-3.4340267181396484
8,2,8,-4.278928756713867,-3.933335781097412
9,2,10,-4.609034061431885,-4.337818145751953
10,3,2,-3.5669994354248047,-3.510241985321045
11,3,4,-3.1376142501831055,-3.2500507831573486
12,3,5,-4.181967258453369,-3.975876569747925
13,3,8,-4.159605026245117,-3.8717212677001953
14,3,10,-4.8968963623046875,-4.557642459869385
