,L,nh,x->y,y->x
0,1,2,-2.7735636234283447,-2.8657338619232178
1,1,4,-3.1770529747009277,-3.0209436416625977
2,1,5,-2.961590528488159,-3.1861002445220947
3,1,8,-3.3101730346679688,-3.4481563568115234
4,1,10,-3.005880117416382,-3.3941683769226074
5,2,2,-3.003390073776245,-2.977065086364746
6,2,4,-3.0707876682281494,-3.0403430461883545
7,2,5,-3.1823434829711914,-3.202871322631836
8,2,8,-3.2346997261047363,-3.2342135906219482
9,2,10,-3.442476511001587,-3.8522415161132812
10,3,2,-3.029451608657837,-2.943758249282837
11,3,4,-3.0498409271240234,-3.0551674365997314
12,3,5,-3.3067431449890137,-3.3816304206848145
13,3,8,-3.2457706928253174,-3.3657968044281006
14,3,10,-3.2226219177246094,-3.5249898433685303
