,L,nh,x->y,y->x
0,1,18,-4.621563911437988,-4.565067291259766
1,1,24,-6.464993953704834,-7.249942779541016
2,2,18,-4.242177486419678,-4.174763202667236
3,2,24,-3.1948986053466797,-3.100823163986206
4,3,18,-4.86751651763916,-4.912971496582031
5,3,24,-8.649212837219238,-9.704328536987305
