,L,nh,x->y,y->x
0,1,18,-3.165069103,-3.117336512
1,1,24,-2.938480139,-3.239580631
2,2,18,-2.572918415,-2.60210681
3,2,24,-2.48183918,-2.559890509
4,3,18,-2.509783745,-2.570492268
5,3,24,-2.8761127,-3.111410618
