,L,nh,x->y,y->x
0,1,2,-2.4892423152923584,-2.5354130268096924
1,1,4,-2.6087377071380615,-2.5692155361175537
2,1,5,-2.962097406387329,-2.8892862796783447
3,1,8,-2.950989007949829,-2.813230276107788
4,1,10,-2.902693271636963,-2.834333658218384
5,2,2,-2.565049171447754,-2.570937395095825
6,2,4,-2.312654733657837,-2.3749029636383057
7,2,5,-2.879333257675171,-2.7193150520324707
8,2,8,-2.674914598464966,-2.611104965209961
9,2,10,-3.4093637466430664,-3.338082790374756
10,3,2,-2.351188898086548,-2.3624372482299805
11,3,4,-2.251495361328125,-2.3417229652404785
12,3,5,-2.9324729442596436,-2.8621084690093994
13,3,8,-2.9606568813323975,-2.8763136863708496
14,3,10,-3.2310423851013184,-3.1637070178985596
