,L,nh,x->y,y->x
0,1,2,-2.548882484436035,-2.594149589538574
1,1,4,-2.690295934677124,-2.6377649307250977
2,1,5,-3.0309836864471436,-2.917961835861206
3,1,8,-3.0602288246154785,-2.8653652667999268
4,1,10,-3.025402307510376,-2.8910129070281982
5,2,2,-2.6488356590270996,-2.650953769683838
6,2,4,-2.4436419010162354,-2.4847121238708496
7,2,5,-2.9764976501464844,-2.7822768688201904
8,2,8,-2.7938389778137207,-2.6769449710845947
9,2,10,-3.5259127616882324,-3.3960931301116943
10,3,2,-2.472217321395874,-2.4881057739257812
11,3,4,-2.3794748783111572,-2.4341979026794434
12,3,5,-3.0487983226776123,-2.9281723499298096
13,3,8,-3.0778133869171143,-2.931572198867798
14,3,10,-3.348229169845581,-3.2198538780212402
