,L,nh,x->y,y->x
0,1,2,-3.341663360595703,-3.3016536235809326
1,1,4,-3.235247850418091,-3.507387161254883
2,1,5,-4.207607746124268,-4.098371982574463
3,1,8,-4.540864944458008,-4.462214469909668
4,1,10,-4.0404253005981445,-3.853761672973633
5,2,2,-3.9850964546203613,-4.116624355316162
6,2,4,-3.5959064960479736,-4.290008544921875
7,2,5,-4.533250331878662,-4.703818321228027
8,2,8,-5.277750492095947,-5.148340702056885
9,2,10,-4.9336724281311035,-4.801107883453369
10,3,2,-4.019598960876465,-4.2933478355407715
11,3,4,-4.5061469078063965,-4.859251499176025
12,3,5,-5.293013572692871,-5.373417377471924
13,3,8,-5.539804935455322,-5.141354084014893
14,3,10,-5.389151573181152,-5.318236351013184
