,L,nh,x->y,y->x
0,1,2,-4.337718486785889,-3.9254801273345947
1,1,4,-3.9548075199127197,-4.12644624710083
2,1,5,-4.044137001037598,-4.038632392883301
3,1,8,-4.090760231018066,-5.4517741203308105
4,1,10,-5.567233562469482,-5.0092902183532715
5,2,2,-4.162310600280762,-5.176550388336182
6,2,4,-4.968278408050537,-5.6713361740112305
7,2,5,-3.5110464096069336,-5.466884136199951
8,2,8,-4.795962810516357,-7.011185169219971
9,2,10,-5.859880447387695,-6.6682047843933105
10,3,2,-3.134936809539795,-5.885608196258545
11,3,4,-5.851177215576172,-4.860297679901123
12,3,5,-4.578154563903809,-5.921072483062744
13,3,8,-5.677682876586914,-7.377350807189941
14,3,10,-6.3497538566589355,-7.189296722412109
