,L,nh,x->y,y->x
0,1,2,-3.990084409713745,-3.9896087646484375
1,1,4,-2.774291515350342,-2.842207670211792
2,1,5,-4.12957239151001,-4.211550235748291
3,1,8,-4.064687252044678,-4.488479137420654
4,1,10,-4.192805290222168,-4.187526226043701
5,2,2,-3.6738808155059814,-3.893739938735962
6,2,4,-2.8978962898254395,-2.9630308151245117
7,2,5,-4.3434295654296875,-4.667123317718506
8,2,8,-4.701819896697998,-5.356345176696777
9,2,10,-4.700712203979492,-4.883022785186768
10,3,2,-3.1025638580322266,-3.656825065612793
11,3,4,-4.242943286895752,-4.023474216461182
12,3,5,-4.929298400878906,-5.20936918258667
13,3,8,-5.012758255004883,-5.672756195068359
14,3,10,-5.0384521484375,-5.19905948638916
