,L,nh,x->y,y->x
0,1,2,-3.3284683227539062,-3.416489839553833
1,1,4,-3.3025195598602295,-2.777646780014038
2,1,5,-3.9648239612579346,-4.158480644226074
3,1,8,-4.336172103881836,-4.421334266662598
4,1,10,-4.026889801025391,-3.986241579055786
5,2,2,-4.181825160980225,-3.9674551486968994
6,2,4,-3.9836788177490234,-2.928762674331665
7,2,5,-4.679110050201416,-4.450526714324951
8,2,8,-5.024379253387451,-5.055806636810303
9,2,10,-4.956860065460205,-4.839198589324951
10,3,2,-4.321459770202637,-3.994333267211914
11,3,4,-4.714107990264893,-4.316174030303955
12,3,5,-5.334167957305908,-5.223942279815674
13,3,8,-4.920254230499268,-5.16852331161499
14,3,10,-5.483802318572998,-5.296214580535889
