,L,nh,x->y,y->x
0,1,10,-3.463080406188965,-3.7883541584014893
1,1,18,-3.167747974395752,-3.2768521308898926
2,1,24,-4.404816627502441,-4.169039726257324
3,2,10,-4.492530345916748,-4.794651508331299
4,2,18,-3.279573678970337,-3.3325023651123047
5,2,24,-4.050080299377441,-4.011256217956543
6,3,10,-5.074136734008789,-5.28708028793335
7,3,18,-3.3159542083740234,-3.239403486251831
8,3,24,-5.9091668128967285,-5.512568473815918
