,L,nh,x->y,y->x
0,1,2,-3.033451557159424,-2.955489158630371
1,1,4,-2.9651570320129395,-3.0954132080078125
2,1,5,-3.4660582542419434,-3.313157796859741
3,1,8,-3.6240341663360596,-3.701289653778076
4,1,10,-3.5556998252868652,-3.4112377166748047
5,2,2,-3.2360668182373047,-3.3483850955963135
6,2,4,-2.9915525913238525,-3.064683437347412
7,2,5,-3.3857786655426025,-3.372328519821167
8,2,8,-3.767650842666626,-3.8156940937042236
9,2,10,-4.265059947967529,-4.215904235839844
10,3,2,-2.9218170642852783,-3.176271438598633
11,3,4,-2.947681188583374,-2.9608263969421387
12,3,5,-3.856241226196289,-3.878143787384033
13,3,8,-3.9868969917297363,-3.965778112411499
14,3,10,-4.393989562988281,-4.360350608825684
