,L,nh,x->y,y->x
0,1,2,-3.349769353866577,-3.331467390060425
1,1,4,-3.306972026824951,-3.531149387359619
2,1,5,-4.225187301635742,-4.114361763000488
3,1,8,-4.5242109298706055,-4.493937015533447
4,1,10,-4.005443096160889,-3.9161131381988525
5,2,2,-3.987316131591797,-4.121643543243408
6,2,4,-3.756500244140625,-4.285613536834717
7,2,5,-4.57462739944458,-4.710356712341309
8,2,8,-5.217715740203857,-5.195918083190918
9,2,10,-4.916108131408691,-4.8893585205078125
10,3,2,-4.0587592124938965,-4.293920040130615
11,3,4,-4.616952896118164,-4.861220359802246
12,3,5,-5.309360027313232,-5.373744964599609
13,3,8,-5.424439430236816,-5.24458122253418
14,3,10,-5.3829240798950195,-5.400166034698486
