,L,nh,x->y,y->x
0,1,2,-3.023299217224121,-2.991020441055298
1,1,4,-3.6937248706817627,-3.5682928562164307
2,1,5,-4.116465091705322,-4.163644313812256
3,1,8,-4.600861549377441,-4.51697301864624
4,1,10,-3.9415106773376465,-3.5951342582702637
5,2,2,-4.127505779266357,-3.9116930961608887
6,2,4,-4.200412750244141,-4.193397045135498
7,2,5,-4.611007213592529,-4.626769065856934
8,2,8,-5.267502784729004,-5.009799957275391
9,2,10,-4.838643550872803,-4.395508766174316
10,3,2,-4.328999996185303,-4.14666748046875
11,3,4,-4.7377495765686035,-4.775267601013184
12,3,5,-5.298183441162109,-5.234035015106201
13,3,8,-5.469886779785156,-5.081860065460205
14,3,10,-5.352836608886719,-4.9123992919921875
