,L,nh,x->y,y->x
0,1,2,-3.9022698402404785,-3.879027843475342
1,1,4,-3.0113584995269775,-3.335353136062622
2,1,5,-4.201679229736328,-4.2907867431640625
3,1,8,-4.3414812088012695,-4.791114807128906
4,1,10,-4.555140495300293,-4.6207098960876465
5,2,2,-4.021216869354248,-4.3508477210998535
6,2,4,-3.1640126705169678,-4.123814105987549
7,2,5,-4.464316368103027,-4.996262073516846
8,2,8,-5.0809478759765625,-5.87803840637207
9,2,10,-5.14124059677124,-5.555788040161133
10,3,2,-3.6379246711730957,-4.459962368011475
11,3,4,-4.5198235511779785,-4.4967732429504395
12,3,5,-5.155645847320557,-5.579988956451416
13,3,8,-5.561609745025635,-6.380861759185791
14,3,10,-5.535260200500488,-6.000632286071777
