,L,nh,x->y,y->x
0,1,2,-3.441840171813965,-3.40875506401062
1,1,4,-3.414191246032715,-3.4142348766326904
2,1,5,-4.191536903381348,-4.176738739013672
3,1,8,-4.677773952484131,-4.469171524047852
4,1,10,-4.149952411651611,-4.145700931549072
5,2,2,-4.1234450340271,-3.953737497329712
6,2,4,-4.050152778625488,-4.100663185119629
7,2,5,-4.615876197814941,-4.424793243408203
8,2,8,-5.484244346618652,-5.182676792144775
9,2,10,-5.078344821929932,-4.98778772354126
10,3,2,-4.18074893951416,-3.8352553844451904
11,3,4,-4.681708335876465,-4.700779914855957
12,3,5,-5.29184103012085,-5.219746112823486
13,3,8,-5.76874303817749,-5.429691791534424
14,3,10,-5.551051139831543,-5.444726467132568
