,L,nh,x->y,y->x
0,1,2,-2.73504638671875,-2.7656333446502686
1,1,4,-3.093005657196045,-3.0723204612731934
2,1,5,-3.5457911491394043,-3.5415968894958496
3,1,8,-4.045656204223633,-4.096057415008545
4,1,10,-3.518648862838745,-3.621401786804199
5,2,2,-3.5855226516723633,-3.6381986141204834
6,2,4,-3.2215585708618164,-3.1090519428253174
7,2,5,-3.6438779830932617,-3.622633218765259
8,2,8,-4.4231085777282715,-4.514160633087158
9,2,10,-4.389673709869385,-4.540448188781738
10,3,2,-3.4736177921295166,-3.4918336868286133
11,3,4,-3.380946397781372,-3.340693473815918
12,3,5,-4.276705741882324,-4.304057598114014
13,3,8,-4.254317283630371,-4.3533616065979
14,3,10,-4.723005771636963,-4.8800787925720215
