,L,nh,x->y,y->x
0,1,2,-3.3651859760284424,-3.3889167308807373
1,1,4,-3.53182315826416,-3.4570417404174805
2,1,5,-4.000929832458496,-4.085732936859131
3,1,8,-4.431818962097168,-4.665365219116211
4,1,10,-4.0502471923828125,-4.2261834144592285
5,2,2,-4.0863518714904785,-4.119297027587891
6,2,4,-4.251871109008789,-3.9407904148101807
7,2,5,-4.319436073303223,-4.372131824493408
8,2,8,-5.0545830726623535,-5.333705902099609
9,2,10,-4.940037250518799,-5.095600128173828
10,3,2,-4.061593055725098,-4.143691539764404
11,3,4,-4.536841869354248,-4.347945690155029
12,3,5,-4.98579216003418,-5.082891464233398
13,3,8,-5.108004570007324,-5.535237789154053
14,3,10,-5.39559268951416,-5.519857406616211
