,L,nh,x->y,y->x
0,1,10,-4.10258674621582,-4.06953763961792
1,1,18,-3.6579160690307617,-3.6213178634643555
2,1,24,-4.207354545593262,-4.260177135467529
3,2,10,-4.781989574432373,-4.752913951873779
4,2,18,-3.6739327907562256,-3.6514596939086914
5,2,24,-4.053028583526611,-4.202230453491211
6,3,10,-5.400269985198975,-5.368592739105225
7,3,18,-4.004729747772217,-3.9705817699432373
8,3,24,-5.637629985809326,-5.6734113693237305
