,L,nh,x->y,y->x
0,1,2,-1.5029675960540771,-1.5222824811935425
1,1,4,-3.4910106658935547,-3.4904704093933105
2,1,5,-3.393057107925415,-3.4030582904815674
3,1,8,-3.8502566814422607,-3.8647618293762207
4,1,10,-2.5884454250335693,-2.598980188369751
5,2,2,-3.24259090423584,-3.2386224269866943
6,2,4,-3.2880187034606934,-3.2649497985839844
7,2,5,-3.1061673164367676,-3.0988874435424805
8,2,8,-3.5855798721313477,-3.6232833862304688
9,2,10,-3.086923837661743,-3.094817876815796
10,3,2,-3.1177725791931152,-3.096449613571167
11,3,4,-3.3067097663879395,-3.303049325942993
12,3,5,-3.705646514892578,-3.7152647972106934
13,3,8,-3.1035547256469727,-3.1453864574432373
14,3,10,-3.3663532733917236,-3.367307186126709
