,L,nh,x->y,y->x
0,1,10,-3.077913999557495,-3.009277820587158
1,1,18,-2.77266001701355,-2.6704938411712646
2,1,24,-2.6553993225097656,-2.881807804107666
3,2,10,-3.641234874725342,-3.58457350730896
4,2,18,-2.6249756813049316,-2.5908098220825195
5,2,24,-2.4963324069976807,-2.773082971572876
6,3,10,-3.5580899715423584,-3.507366180419922
7,3,18,-2.475041151046753,-2.5114784240722656
8,3,24,-2.637779951095581,-2.96077036857605
