,L,nh,x->y,y->x
0,1,2,-2.4845447540283203,-2.5141918659210205
1,1,4,-2.473287343978882,-2.475691795349121
2,1,5,-3.261101007461548,-3.297126293182373
3,1,8,-3.519620180130005,-3.6195216178894043
4,1,10,-3.1805758476257324,-3.2215540409088135
5,2,2,-3.1815032958984375,-3.2185561656951904
6,2,4,-2.1185555458068848,-2.079723596572876
7,2,5,-3.237520933151245,-3.290893077850342
8,2,8,-3.729844093322754,-3.844503879547119
9,2,10,-3.7876126766204834,-3.8581926822662354
10,3,2,-2.776724100112915,-2.851377248764038
11,3,4,-2.7500462532043457,-2.7238762378692627
12,3,5,-3.768232822418213,-3.8557262420654297
13,3,8,-3.580965042114258,-3.6933212280273438
14,3,10,-4.044447422027588,-4.119539260864258
