,L,nh,x->y,y->x
0,1,18,-3.139585018157959,-2.806553363800049
1,1,24,-3.2145159244537354,-3.3241567611694336
2,2,18,-3.250291347503662,-3.2004828453063965
3,2,24,-3.1782264709472656,-3.2354931831359863
4,3,18,-3.2380688190460205,-3.208439588546753
5,3,24,-3.2508842945098877,-3.318464994430542
