,L,nh,x->y,y->x
0,1,2,-2.5795717239379883,-2.619792938232422
1,1,4,-2.7240538597106934,-2.6478047370910645
2,1,5,-3.0539536476135254,-2.9140682220458984
3,1,8,-3.11185622215271,-2.8924789428710938
4,1,10,-3.0895774364471436,-2.932819366455078
5,2,2,-2.692455291748047,-2.674884080886841
6,2,4,-2.5084054470062256,-2.524585485458374
7,2,5,-3.0298757553100586,-2.7940561771392822
8,2,8,-2.849785089492798,-2.7259223461151123
9,2,10,-3.583245038986206,-3.464416265487671
10,3,2,-2.54017972946167,-2.533475399017334
11,3,4,-2.436959981918335,-2.4896135330200195
12,3,5,-3.112025499343872,-2.9660263061523438
13,3,8,-3.131894111633301,-2.9790868759155273
14,3,10,-3.4073872566223145,-3.2861852645874023
