,L,nh,x->y,y->x
0,1,2,-4.113739490509033,-4.042588233947754
1,1,4,-2.980407953262329,-3.2344260215759277
2,1,5,-4.3562541007995605,-4.366878509521484
3,1,8,-4.560619354248047,-4.793483734130859
4,1,10,-4.563784122467041,-4.4219770431518555
5,2,2,-4.062138557434082,-4.225074291229248
6,2,4,-3.2215561866760254,-3.9173598289489746
7,2,5,-4.544580459594727,-4.984041213989258
8,2,8,-5.355813980102539,-5.929524898529053
9,2,10,-5.174856662750244,-5.4091949462890625
10,3,2,-3.6821365356445312,-4.191516399383545
11,3,4,-4.538755893707275,-4.58673620223999
12,3,5,-5.285102844238281,-5.585540294647217
13,3,8,-5.9546051025390625,-6.423220634460449
14,3,10,-5.558804988861084,-5.873748302459717
