,L,nh,x->y,y->x
0,1,2,-2.5554001331329346,-2.606701612472534
1,1,4,-2.6273672580718994,-2.5434353351593018
2,1,5,-2.971383810043335,-2.9160940647125244
3,1,8,-2.9660379886627197,-2.814505100250244
4,1,10,-2.9264872074127197,-2.9373035430908203
5,2,2,-2.579458475112915,-2.6725575923919678
6,2,4,-2.346158027648926,-2.4153599739074707
7,2,5,-2.8877782821655273,-2.7144150733947754
8,2,8,-2.6859517097473145,-2.633927583694458
9,2,10,-3.4302735328674316,-3.4098753929138184
10,3,2,-2.4065229892730713,-2.445352792739868
11,3,4,-2.279071092605591,-2.394195795059204
12,3,5,-2.970092296600342,-2.903393268585205
13,3,8,-2.962970733642578,-2.902003288269043
14,3,10,-3.2449426651000977,-3.2696895599365234
