,L,nh,x->y,y->x
0,1,10,-357.9396057128906,-150.9271240234375
1,1,18,-222.22933959960938,-209.15948486328125
2,1,24,-2137.478759765625,-367.7346496582031
3,2,10,-147.09762573242188,-134.10940551757812
4,2,18,,-227.2152557373047
5,2,24,,-455.6466369628906
6,3,10,-141.77508544921875,-114.38111114501953
7,3,18,,-108.26699829101562
8,3,24,,-220.2759246826172
