,L,nh,x->y,y->x
0,1,2,-2.852815628051758,-2.911539316177368
1,1,4,-3.476161003112793,-3.612114191055298
2,1,5,-3.7995193004608154,-3.8540899753570557
3,1,8,-4.253452301025391,-4.4000349044799805
4,1,10,-4.166114330291748,-4.193448543548584
5,2,2,-4.084787368774414,-4.170709609985352
6,2,4,-3.932097911834717,-4.309918403625488
7,2,5,-4.347479820251465,-4.4617838859558105
8,2,8,-4.730166912078857,-4.957462787628174
9,2,10,-5.010777950286865,-5.049574851989746
10,3,2,-4.177694320678711,-4.380163669586182
11,3,4,-4.499597549438477,-4.58749532699585
12,3,5,-5.007528305053711,-5.089685440063477
13,3,8,-4.789064884185791,-5.07080078125
14,3,10,-5.5131001472473145,-5.547948837280273
