,L,nh,x->y,y->x
0,1,2,-3.1249382495880127,-3.2039711475372314
1,1,4,-3.3763418197631836,-3.274775981903076
2,1,5,-3.8686349391937256,-3.9507391452789307
3,1,8,-4.294223308563232,-4.271186351776123
4,1,10,-3.878375291824341,-3.846184253692627
5,2,2,-3.861522912979126,-3.755650043487549
6,2,4,-3.819631576538086,-3.5867421627044678
7,2,5,-4.172089099884033,-3.9727704524993896
8,2,8,-4.809112071990967,-4.759942531585693
9,2,10,-4.76228666305542,-4.635946273803711
10,3,2,-3.784359931945801,-3.551043748855591
11,3,4,-4.030806541442871,-4.009981632232666
12,3,5,-4.774306774139404,-4.676906585693359
13,3,8,-4.719780921936035,-4.740083694458008
14,3,10,-5.138515949249268,-4.993319511413574
