,L,nh,x->y,y->x
0,1,2,-3.3360676765441895,-3.295557737350464
1,1,4,-3.261596202850342,-3.5176854133605957
2,1,5,-4.207302570343018,-4.1015238761901855
3,1,8,-4.543888568878174,-4.48577880859375
4,1,10,-4.049197673797607,-3.865572690963745
5,2,2,-3.9831578731536865,-4.11028528213501
6,2,4,-3.6378448009490967,-4.318846702575684
7,2,5,-4.53068208694458,-4.704669952392578
8,2,8,-5.277547359466553,-5.159202575683594
9,2,10,-4.942681312561035,-4.817066192626953
10,3,2,-4.011974811553955,-4.281594753265381
11,3,4,-4.520158290863037,-4.862185478210449
12,3,5,-5.293213844299316,-5.36478853225708
13,3,8,-5.53766393661499,-5.1964826583862305
14,3,10,-5.40110445022583,-5.3311028480529785
