,L,nh,x->y,y->x
0,1,2,-2.4315249919891357,-2.4043989181518555
1,1,4,-3.7968688011169434,-3.786897897720337
2,1,5,-3.964251756668091,-3.9696526527404785
3,1,8,-4.379762649536133,-4.392600059509277
4,1,10,-3.2563183307647705,-3.3514015674591064
5,2,2,-3.770537853240967,-3.77302622795105
6,2,4,-4.330019474029541,-4.255661487579346
7,2,5,-4.16041898727417,-4.181159019470215
8,2,8,-4.740898132324219,-4.727579593658447
9,2,10,-4.149590492248535,-4.277616024017334
10,3,2,-4.010905742645264,-4.0170512199401855
11,3,4,-4.713868141174316,-4.637009620666504
12,3,5,-4.8267598152160645,-4.837566375732422
13,3,8,-4.582535266876221,-4.622603416442871
14,3,10,-4.606717109680176,-4.7377214431762695
