,L,nh,x->y,y->x
0,1,10,-3.83921217918396,-3.8598828315734863
1,1,18,-3.4308509826660156,-3.4502904415130615
2,1,24,-5.008942127227783,-4.789889335632324
3,2,10,-4.696814060211182,-4.723047256469727
4,2,18,-3.482846975326538,-3.5111773014068604
5,2,24,-4.819775104522705,-4.560340404510498
6,3,10,-5.193084716796875,-5.19804048538208
7,3,18,-3.7986342906951904,-3.8027656078338623
8,3,24,-6.870591640472412,-6.556510925292969
